X1,X2,y
-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.345889773617529844e-04,2.363224242050601057e-03,0.000000000000000000e+00
6.468003851753965699e-04,4.970625672803622060e-03,0.000000000000000000e+00
-7.421532182762356896e-04,7.482079711867990757e-03,0.000000000000000000e+00
1.724892698815553823e-03,9.875557019589467286e-03,0.000000000000000000e+00
1.114701607644378884e-03,1.248165172601965398e-02,0.000000000000000000e+00
3.862465223016148339e-03,1.453308622617950109e-02,0.000000000000000000e+00
-1.579655131927108465e-03,1.747259857755267473e-02,0.000000000000000000e+00
-2.803876738548519067e-03,1.985310555841041449e-02,0.000000000000000000e+00
-1.540353852215761883e-03,2.250373488861934224e-02,0.000000000000000000e+00
-1.024504580966906908e-04,2.506244724360678564e-02,0.000000000000000000e+00
7.603067738697576877e-03,2.649978939656031512e-02,0.000000000000000000e+00
-8.996606627936139591e-03,2.869804872475627960e-02,0.000000000000000000e+00
1.624662674307887980e-03,3.254092180785226468e-02,0.000000000000000000e+00
1.265274470101814333e-02,3.272699340121751344e-02,0.000000000000000000e+00
7.552313305499094506e-03,3.682757484669865050e-02,0.000000000000000000e+00
6.704841227994832661e-03,3.953574590697411795e-02,0.000000000000000000e+00
8.290816158771386127e-03,4.179207577823126907e-02,0.000000000000000000e+00
3.230105689263624950e-03,4.499699448791423528e-02,0.000000000000000000e+00
7.985707872420661629e-03,4.694467132616313154e-02,0.000000000000000000e+00
2.032063505503785630e-02,4.582159777550010721e-02,0.000000000000000000e+00
1.334339782024304699e-02,5.091205001867246671e-02,0.000000000000000000e+00
1.403539948898778825e-02,5.332156664605437746e-02,0.000000000000000000e+00
2.903350107132746452e-02,4.979858697811662127e-02,0.000000000000000000e+00
7.571981731444696676e-03,5.967187627655014953e-02,0.000000000000000000e+00
4.921947356521614615e-03,6.246302243177950103e-02,0.000000000000000000e+00
2.079314338800588094e-02,6.175637353088347242e-02,0.000000000000000000e+00
1.782505735941195338e-02,6.527927921997429828e-02,0.000000000000000000e+00
-8.246412648331334638e-03,6.968923059299299283e-02,0.000000000000000000e+00
3.649707721991744813e-02,6.285374681461883273e-02,0.000000000000000000e+00
